url,tipo,objetivo,preco,area_util,area_total,Quartos,Banheiros,Suites,Garagens,Cidade,Bairro,Piscina,Copa,Cozinha,Sala de estar,Sala de jantar,Sala de visitas
https://www.imobiliariatradicao.com.br/Imovel/10987,Apartamento,locacao,1800.0,,,2.0,1.0,1.0,1.0,Araras,8 de Abril (Las Vegas),Não,Sim,Sim,Sim,Sim,Não
https://www.imobiliariatradicao.com.br/Imovel/10989,Casa,locacao,2300.0,,,3.0,1.0,,3.0,Araras,Cândida,Não,Sim,Sim,Sim,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/10933,Casa,locacao,690.0,,,1.0,1.0,,2.0,Araras,José Ometto I,Não,Não,Sim,Não,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/10923,Casa,locacao,2500.0,,,3.0,2.0,,1.0,Araras,Centro,Não,Não,Sim,Não,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/10909,Casa,locacao,2700.0,,,3.0,2.0,1.0,1.0,Araras,Vila Rodini,Não,Sim,Sim,Sim,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/10950,Apartamento,locacao,1500.0,,,2.0,1.0,,1.0,Araras,Sítios de Recreio Independência (Begônias do Campo),Não,Não,Sim,Não,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/10918,Casa,locacao,2900.0,,,3.0,,1.0,,Araras,Rosana (Candida),Não,Não,Sim,Não,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/10945,Apartamento,locacao,2800.0,,,2.0,2.0,1.0,1.0,Araras,Jacarandás,Sim,Não,Sim,Sim,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/10937,Apartamento,locacao,3150.0,,,2.0,1.0,1.0,1.0,Araras,Mirante da Lagoa,Não,Não,Sim,Sim,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10814,Apartamento,locacao,5700.0,132.8,,3.0,,3.0,2.0,Araras,Centro (Vitrallis),Sim,Não,Sim,Sim,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/10872,Apartamento,locacao,800.0,,,2.0,1.0,,1.0,Araras,Jacaranda 8 de Abril,Não,Não,Sim,Não,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/11052,Apartamento,locacao,1500.0,51.0,,2.0,1.0,,1.0,Araras,Buzolin (Parque das Orquídeas),Não,Não,Sim,Não,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/10878,Apartamento,locacao,450.0,,,1.0,,,,Araras,Centro,Não,Não,Sim,Não,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/10879,Casa,locacao,750.0,,,1.0,1.0,,,Araras,Vila Michelin,Não,Não,Sim,Não,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/10895,Casa,locacao,1300.0,,,2.0,1.0,,2.0,Araras,Esmeralda,Não,Não,Sim,Sim,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/10839,Apartamento,locacao,900.0,44.0,,2.0,1.0,,1.0,Araras,Buzolin (Parque das Palmeiras),Não,Não,Sim,Não,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/10901,Apartamento,locacao,1400.0,,,2.0,1.0,,1.0,Araras,Celina (Pq Alvorada),Sim,Não,Sim,Sim,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/10845,Casa,locacao,1500.0,,,2.0,1.0,1.0,1.0,Araras,Santa Olívia II,Não,Sim,Sim,Não,Não,Sim
